Time;Counts;Counts_back
7h16 -7h30;295;110
7h31 -7h45;110;220
7h46 - 8h00;735;220
8h01 -8h15;480;220
8h16 - 8h30;295;220
8h31 - 8h45;660;75
8h46 - 9h00;700;220
9h01 - 9h15;550;220
9h16 - 9h30;295;220
9h31 - 9h45;220;220
9h46 - 10h00;445;220
10h01 - 10h15;220;110
10h16 - 10h30;295;185
10h31 - 10h45;220;220
10h45 - 11h00;110;220
11h01 - 11h15;220;220
11h16 - 11h30;185;220
11h31 - 11h45;220;110
11h46 - 12h00;220;220
12h01 - 12h15;110;330
12h16 - 12h30;220;220
12h31 - 12h45;220;220
12h46 - 13h00;220;220
13h01 - 13h15;220;220
13h16 - 13h30;185;185
13h31 - 13h45;370;220
13h46 - 14h00;220;110
14h01 - 14h15;220;220
14h16 - 14h30;220;220
14h31 - 14h45;185;220
14h46 - 15h00;220;335
15h01 - 15h15;220;220
15h16 - 15h30;220;220
15h31 - 15h45;220;220
15h46 - 16h00;110;220
16h01 - 16h15;220;330
16h16 - 16h30;220;220
16h31 - 16h45;110;330
16h46 - 17h00;220;220
17h01 - 17h15;220;330
17h16 - 17h30;220;370
17h31 - 17h45;330;330
17h46 - 18h00;330;220
18h01 - 18h15;110;220
18h16 - 18h30;220;110
18h31 - 18h45;220;220
18h46 - 19h00;110;110
19h01 - 19h15;220;220